IDSTAZIONE;GIORNO;MESE;ANNO;ORA;LIVIDRO_MIN;LIVIDRO_MED;LIVIDRO_MAX;PORT_MIN;PORT_MED;PORT_MAX
214;01;01;2018;01;0.01;0.01;0.01;0.81;0.81;0.81
214;01;01;2018;02;0.01;0.01;0.01;0.81;0.81;0.81
214;01;01;2018;03;0.01;0.01;0.02;0.81;0.82;0.87
214;01;01;2018;04;0.01;0.01;0.02;0.81;0.82;0.87
214;01;01;2018;05;0.01;0.02;0.02;0.81;0.86;0.87
214;01;01;2018;06;0.01;0.01;0.01;0.81;0.81;0.81
214;01;01;2018;07;0.01;0.01;0.02;0.81;0.82;0.87
214;01;01;2018;08;0.01;0.01;0.01;0.81;0.81;0.81
214;01;01;2018;09;0.01;0.01;0.01;0.81;0.81;0.81
214;01;01;2018;10;0.01;0.02;0.02;0.81;0.86;0.87
214;01;01;2018;11;0.02;0.02;0.02;0.87;0.87;0.87
214;01;01;2018;12;0.02;0.02;0.02;0.87;0.87;0.87
214;01;01;2018;13;0.02;0.02;0.02;0.87;0.87;0.87
214;01;01;2018;14;0.01;0.02;0.02;0.81;0.84;0.87
214;01;01;2018;15;0.01;0.01;0.01;0.81;0.81;0.81
214;01;01;2018;16;0.01;0.01;0.01;0.81;0.81;0.81
214;01;01;2018;17;0.01;0.01;0.02;0.81;0.82;0.87
214;01;01;2018;18;0.01;0.01;0.02;0.81;0.82;0.87
214;01;01;2018;19;0.01;0.02;0.02;0.81;0.84;0.87
214;01;01;2018;20;0.01;0.01;0.02;0.81;0.82;0.87
214;01;01;2018;21;0.01;0.02;0.02;0.81;0.86;0.87
214;01;01;2018;22;0.01;0.01;0.02;0.81;0.82;0.87
214;01;01;2018;23;0.01;0.01;0.01;0.81;0.81;0.81
214;02;01;2018;00;0.01;0.01;0.02;0.81;0.82;0.87
214;02;01;2018;01;0.01;0.01;0.01;0.81;0.81;0.81
214;02;01;2018;02;0.01;0.01;0.01;0.81;0.81;0.81
214;02;01;2018;03;0.01;0.01;0.01;0.81;0.81;0.81
214;02;01;2018;04;0.01;0.01;0.02;0.81;0.82;0.87
214;02;01;2018;05;0.01;0.01;0.01;0.81;0.81;0.81
214;02;01;2018;06;0.01;0.01;0.02;0.81;0.82;0.87
214;02;01;2018;07;0.01;0.01;0.01;0.81;0.81;0.81
214;02;01;2018;08;0.01;0.01;0.01;0.81;0.81;0.81
214;02;01;2018;09;0.01;0.01;0.01;0.81;0.81;0.81
214;02;01;2018;10;0.01;0.01;0.01;0.81;0.81;0.81
214;02;01;2018;11;0.01;0.01;0.01;0.81;0.81;0.81
214;02;01;2018;12;0.01;0.01;0.01;0.81;0.81;0.81
214;02;01;2018;13;0.01;0.01;0.01;0.81;0.81;0.81
214;02;01;2018;14;0.01;0.01;0.01;0.81;0.81;0.81
214;02;01;2018;15;0.01;0.01;0.01;0.81;0.81;0.81
214;02;01;2018;16;0.01;0.01;0.01;0.81;0.81;0.81
214;02;01;2018;17;0.01;0.01;0.02;0.81;0.82;0.87
214;02;01;2018;18;0.01;0.01;0.01;0.81;0.81;0.81
214;02;01;2018;19;0.01;0.01;0.01;0.81;0.81;0.81
214;02;01;2018;20;0.01;0.01;0.01;0.81;0.81;0.81
214;02;01;2018;21;0.01;0.01;0.01;0.81;0.81;0.81
214;02;01;2018;22;0.00;0.01;0.01;0.74;0.79;0.81
214;02;01;2018;23;0.01;0.01;0.01;0.81;0.81;0.81
214;03;01;2018;00;0.01;0.01;0.01;0.81;0.81;0.81
214;03;01;2018;01;0.01;0.01;0.01;0.81;0.81;0.81
214;03;01;2018;02;0.01;0.01;0.01;0.81;0.81;0.81
214;03;01;2018;03;0.01;0.01;0.01;0.81;0.81;0.81
214;03;01;2018;04;0.01;0.01;0.01;0.81;0.81;0.81
214;03;01;2018;05;0.01;0.01;0.01;0.81;0.81;0.81
214;03;01;2018;06;0.01;0.01;0.01;0.81;0.81;0.81
214;03;01;2018;07;0.01;0.01;0.01;0.81;0.81;0.81
214;03;01;2018;08;0.01;0.01;0.01;0.81;0.81;0.81
214;03;01;2018;09;0.01;0.01;0.01;0.81;0.81;0.81
214;03;01;2018;10;0.00;0.01;0.01;0.74;0.79;0.81
214;03;01;2018;11;0.01;0.01;0.01;0.81;0.81;0.81
214;03;01;2018;12;0.00;0.01;0.01;0.74;0.79;0.81
214;03;01;2018;13;0.01;0.01;0.01;0.81;0.81;0.81
214;03;01;2018;14;0.01;0.01;0.02;0.81;0.82;0.87
214;03;01;2018;15;0.01;0.02;0.02;0.81;0.84;0.87
214;03;01;2018;16;0.01;0.02;0.02;0.81;0.86;0.87
214;03;01;2018;17;0.01;0.01;0.01;0.81;0.81;0.81
214;03;01;2018;18;0.01;0.01;0.01;0.81;0.81;0.81
214;03;01;2018;19;0.01;0.01;0.01;0.81;0.81;0.81
214;03;01;2018;20;0.01;0.01;0.01;0.81;0.81;0.81
214;03;01;2018;21;0.01;0.01;0.01;0.81;0.81;0.81
214;03;01;2018;22;0.01;0.01;0.01;0.81;0.81;0.81
214;03;01;2018;23;0.01;0.01;0.01;0.81;0.81;0.81
