IDSTAZIONE;GIORNO;MESE;ANNO;ORA;LIVIDRO_MIN;LIVIDRO_MED;LIVIDRO_MAX;PORT_MIN;PORT_MED;PORT_MAX
214;01;01;2014;01;0.09;0.10;0.10;1.22;1.27;1.31
214;01;01;2014;02;0.10;0.10;0.10;1.31;1.31;1.31
214;01;01;2014;03;0.09;0.10;0.10;1.22;1.27;1.31
214;01;01;2014;04;0.10;0.10;0.10;1.31;1.31;1.31
214;01;01;2014;05;0.10;0.10;0.10;1.31;1.31;1.31
214;01;01;2014;06;0.10;0.10;0.10;1.31;1.31;1.31
214;01;01;2014;07;0.09;0.10;0.10;1.22;1.29;1.31
214;01;01;2014;08;0.10;0.10;0.10;1.31;1.31;1.31
214;01;01;2014;09;0.09;0.10;0.10;1.22;1.27;1.31
214;01;01;2014;10;0.09;0.10;0.10;1.22;1.27;1.31
214;01;01;2014;11;0.09;0.09;0.09;1.22;1.22;1.22
214;01;01;2014;12;0.09;0.09;0.09;1.22;1.22;1.22
214;01;01;2014;13;0.09;0.09;0.10;1.22;1.24;1.31
214;01;01;2014;14;0.10;0.10;0.10;1.31;1.31;1.31
214;01;01;2014;15;0.09;0.10;0.10;1.22;1.27;1.31
214;01;01;2014;16;0.09;0.09;0.09;1.22;1.22;1.22
214;01;01;2014;17;0.09;0.09;0.09;1.22;1.22;1.22
214;01;01;2014;18;0.09;0.09;0.09;1.22;1.22;1.22
214;01;01;2014;19;0.09;0.09;0.10;1.22;1.24;1.31
214;01;01;2014;20;0.09;0.10;0.10;1.22;1.27;1.31
214;01;01;2014;21;0.09;0.09;0.09;1.22;1.22;1.22
214;01;01;2014;22;0.09;0.09;0.10;1.22;1.24;1.31
214;01;01;2014;23;0.09;0.09;0.09;1.22;1.22;1.22
214;02;01;2014;00;0.09;0.10;0.10;1.22;1.27;1.31
214;02;01;2014;01;0.09;0.09;0.09;1.22;1.22;1.22
214;02;01;2014;02;0.09;0.09;0.10;1.22;1.24;1.31
214;02;01;2014;03;0.09;0.09;0.09;1.22;1.22;1.22
214;02;01;2014;04;0.09;0.10;0.10;1.22;1.27;1.31
214;02;01;2014;05;0.09;0.09;0.09;1.22;1.22;1.22
214;02;01;2014;06;0.09;0.09;0.09;1.22;1.22;1.22
214;02;01;2014;07;0.09;0.09;0.09;1.22;1.22;1.22
214;02;01;2014;08;0.09;0.09;0.09;1.22;1.22;1.22
214;02;01;2014;09;0.09;0.09;0.09;1.22;1.22;1.22
214;02;01;2014;10;0.09;0.09;0.09;1.22;1.22;1.22
214;02;01;2014;11;0.08;0.08;0.09;1.13;1.15;1.22
214;02;01;2014;12;0.08;0.09;0.09;1.13;1.18;1.22
214;02;01;2014;13;0.09;0.09;0.09;1.22;1.22;1.22
214;02;01;2014;14;0.08;0.09;0.09;1.13;1.20;1.22
