IDSTAZIONE;GIORNO;MESE;ANNO;ORA;LIVIDRO_MIN;LIVIDRO_MED;LIVIDRO_MAX;PORT_MIN;PORT_MED;PORT_MAX
214;01;01;2020;01;0.12;0.13;0.13;1.21;1.28;1.31
214;01;01;2020;02;0.12;0.13;0.13;1.21;1.28;1.31
214;01;01;2020;03;0.12;0.12;0.13;1.21;1.23;1.31
214;01;01;2020;04;0.13;0.13;0.13;1.31;1.31;1.31
214;01;01;2020;05;0.12;0.13;0.13;1.21;1.26;1.31
214;01;01;2020;06;0.12;0.12;0.12;1.21;1.21;1.21
214;01;01;2020;07;0.12;0.12;0.13;1.21;1.23;1.31
214;01;01;2020;08;0.12;0.13;0.13;1.21;1.26;1.31
214;01;01;2020;09;0.12;0.12;0.13;1.21;1.23;1.31
214;01;01;2020;10;0.12;0.12;0.13;1.21;1.23;1.31
214;01;01;2020;11;0.12;0.12;0.13;1.21;1.23;1.31
214;01;01;2020;12;0.12;0.12;0.13;1.21;1.23;1.31
214;01;01;2020;13;0.13;0.13;0.13;1.31;1.31;1.31
214;01;01;2020;14;0.12;0.12;0.13;1.21;1.23;1.31
214;01;01;2020;15;0.12;0.12;0.13;1.21;1.23;1.31
214;01;01;2020;16;0.12;0.12;0.13;1.21;1.23;1.31
214;01;01;2020;17;0.13;0.13;0.13;1.31;1.31;1.31
214;01;01;2020;18;0.12;0.13;0.13;1.21;1.28;1.31
214;01;01;2020;19;0.12;0.13;0.13;1.21;1.26;1.31
214;01;01;2020;20;0.12;0.13;0.13;1.21;1.26;1.31
214;01;01;2020;21;0.12;0.13;0.13;1.21;1.26;1.31
214;01;01;2020;22;0.12;0.13;0.13;1.21;1.26;1.31
214;01;01;2020;23;0.13;0.13;0.13;1.31;1.31;1.31
214;02;01;2020;00;0.12;0.13;0.13;1.21;1.26;1.31
214;02;01;2020;01;0.12;0.12;0.12;1.21;1.21;1.21
214;02;01;2020;02;0.12;0.12;0.13;1.21;1.23;1.31
214;02;01;2020;03;0.12;0.12;0.12;1.21;1.21;1.21
214;02;01;2020;04;0.12;0.12;0.12;1.21;1.21;1.21
214;02;01;2020;05;0.12;0.12;0.12;1.21;1.21;1.21
214;02;01;2020;06;0.12;0.12;0.12;1.21;1.21;1.21
214;02;01;2020;07;0.12;0.12;0.13;1.21;1.23;1.31
214;02;01;2020;08;0.12;0.12;0.12;1.21;1.21;1.21
214;02;01;2020;09;0.12;0.12;0.12;1.21;1.21;1.21
214;02;01;2020;10;0.12;0.12;0.12;1.21;1.21;1.21
214;02;01;2020;11;0.12;0.12;0.12;1.21;1.21;1.21
214;02;01;2020;12;0.12;0.12;0.12;1.21;1.21;1.21
214;02;01;2020;13;0.12;0.12;0.13;1.21;1.23;1.31
214;02;01;2020;14;0.12;0.13;0.13;1.21;1.26;1.31
214;02;01;2020;15;0.12;0.12;0.12;1.21;1.21;1.21
214;02;01;2020;16;0.12;0.12;0.12;1.21;1.21;1.21
214;02;01;2020;17;0.12;0.12;0.13;1.21;1.23;1.31
214;02;01;2020;18;0.12;0.13;0.13;1.21;1.26;1.31
214;02;01;2020;19;0.12;0.12;0.13;1.21;1.23;1.31
214;02;01;2020;20;0.12;0.12;0.13;1.21;1.23;1.31
214;02;01;2020;21;0.12;0.12;0.12;1.21;1.21;1.21
214;02;01;2020;22;0.12;0.12;0.12;1.21;1.21;1.21
214;02;01;2020;23;0.12;0.12;0.13;1.21;1.23;1.31
214;03;01;2020;00;0.12;0.12;0.12;1.21;1.21;1.21
214;03;01;2020;01;0.12;0.12;0.12;1.21;1.21;1.21
214;03;01;2020;02;0.12;0.12;0.12;1.21;1.21;1.21
214;03;01;2020;03;0.12;0.12;0.12;1.21;1.21;1.21
214;03;01;2020;04;0.12;0.12;0.12;1.21;1.21;1.21
214;03;01;2020;05;0.12;0.12;0.12;1.21;1.21;1.21
214;03;01;2020;06;0.12;0.12;0.13;1.21;1.23;1.31
214;03;01;2020;07;0.12;0.12;0.13;1.21;1.23;1.31
214;03;01;2020;08;0.12;0.12;0.12;1.21;1.21;1.21
214;03;01;2020;09;0.12;0.12;0.12;1.21;1.21;1.21
214;03;01;2020;10;0.12;0.12;0.12;1.21;1.21;1.21
214;03;01;2020;11;0.12;0.12;0.12;1.21;1.21;1.21
214;03;01;2020;12;0.12;0.12;0.12;1.21;1.21;1.21
214;03;01;2020;13;0.12;0.12;0.12;1.21;1.21;1.21
214;03;01;2020;14;0.12;0.12;0.12;1.21;1.21;1.21
214;03;01;2020;15;0.12;0.12;0.12;1.21;1.21;1.21
214;03;01;2020;16;0.12;0.12;0.12;1.21;1.21;1.21
214;03;01;2020;17;0.12;0.12;0.12;1.21;1.21;1.21
214;03;01;2020;18;0.12;0.12;0.12;1.21;1.21;1.21
214;03;01;2020;19;0.12;0.12;0.12;1.21;1.21;1.21
214;03;01;2020;20;0.12;0.12;0.12;1.21;1.21;1.21
214;03;01;2020;21;0.12;0.12;0.12;1.21;1.21;1.21
214;03;01;2020;22;0.12;0.12;0.12;1.21;1.21;1.21
214;03;01;2020;23;0.12;0.12;0.12;1.21;1.21;1.21
214;04;01;2020;00;0.12;0.12;0.12;1.21;1.21;1.21
214;04;01;2020;01;0.12;0.12;0.12;1.21;1.21;1.21
214;04;01;2020;02;0.12;0.12;0.12;1.21;1.21;1.21
214;04;01;2020;03;0.12;0.12;0.12;1.21;1.21;1.21
214;04;01;2020;04;0.12;0.12;0.12;1.21;1.21;1.21
214;04;01;2020;05;0.12;0.12;0.12;1.21;1.21;1.21
214;04;01;2020;06;0.12;0.12;0.12;1.21;1.21;1.21
214;04;01;2020;07;0.12;0.12;0.12;1.21;1.21;1.21
214;04;01;2020;08;0.12;0.12;0.12;1.21;1.21;1.21
214;04;01;2020;09;0.12;0.12;0.12;1.21;1.21;1.21
214;04;01;2020;10;0.12;0.12;0.12;1.21;1.21;1.21
214;04;01;2020;11;0.12;0.12;0.12;1.21;1.21;1.21
