IDSTAZIONE;GIORNO;MESE;ANNO;ORA;LIVIDRO_MIN;LIVIDRO_MED;LIVIDRO_MAX;PORT_MIN;PORT_MED;PORT_MAX
214;01;01;2012;01;0.24;0.24;0.24;0.98;0.98;0.98
214;01;01;2012;02;0.23;0.24;0.24;0.90;0.96;0.98
214;01;01;2012;03;0.24;0.24;0.24;0.98;0.98;0.98
214;01;01;2012;04;0.23;0.24;0.24;0.90;0.96;0.98
214;01;01;2012;05;0.24;0.24;0.24;0.98;0.98;0.98
214;01;01;2012;06;0.24;0.24;0.24;0.98;0.98;0.98
214;01;01;2012;07;0.24;0.24;0.24;0.98;0.98;0.98
214;01;01;2012;08;0.24;0.24;0.24;0.98;0.98;0.98
214;01;01;2012;09;0.24;0.24;0.24;0.98;0.98;0.98
214;01;01;2012;10;0.24;0.24;0.24;0.98;0.98;0.98
214;01;01;2012;11;0.24;0.24;0.24;0.98;0.98;0.98
214;01;01;2012;12;0.24;0.24;0.24;0.98;0.98;0.98
214;01;01;2012;13;0.24;0.24;0.24;0.98;0.98;0.98
214;01;01;2012;14;0.24;0.24;0.24;0.98;0.98;0.98
214;01;01;2012;15;0.24;0.24;0.24;0.98;0.98;0.98
214;01;01;2012;16;0.24;0.24;0.24;0.98;0.98;0.98
214;01;01;2012;17;0.24;0.24;0.24;0.98;0.98;0.98
214;01;01;2012;18;0.24;0.24;0.24;0.98;0.98;0.98
214;01;01;2012;19;0.24;0.24;0.24;0.98;0.98;0.98
214;01;01;2012;20;0.24;0.24;0.24;0.98;0.98;0.98
214;01;01;2012;21;0.24;0.24;0.24;0.98;0.98;0.98
214;01;01;2012;22;0.24;0.24;0.24;0.98;0.98;0.98
214;01;01;2012;23;0.23;0.24;0.24;0.90;0.96;0.98
214;02;01;2012;00;0.24;0.24;0.24;0.98;0.98;0.98
214;02;01;2012;01;0.23;0.24;0.24;0.90;0.96;0.98
214;02;01;2012;02;0.24;0.24;0.24;0.98;0.98;0.98
214;02;01;2012;03;0.24;0.24;0.24;0.98;0.98;0.98
214;02;01;2012;04;0.23;0.24;0.24;0.90;0.94;0.98
214;02;01;2012;05;0.23;0.24;0.24;0.90;0.96;0.98
214;02;01;2012;06;0.24;0.24;0.24;0.98;0.98;0.98
214;02;01;2012;07;0.24;0.24;0.24;0.98;0.98;0.98
214;02;01;2012;08;0.23;0.24;0.24;0.90;0.94;0.98
214;02;01;2012;09;0.23;0.24;0.24;0.90;0.94;0.98
214;02;01;2012;10;0.24;0.24;0.24;0.98;0.98;0.98
214;02;01;2012;11;0.23;0.24;0.24;0.90;0.96;0.98
214;02;01;2012;12;0.23;0.24;0.24;0.90;0.96;0.98
214;02;01;2012;13;0.24;0.24;0.24;0.98;0.98;0.98
214;02;01;2012;14;0.24;0.24;0.24;0.98;0.98;0.98
214;02;01;2012;15;0.24;0.24;0.24;0.98;0.98;0.98
214;02;01;2012;16;0.24;0.24;0.24;0.98;0.98;0.98
214;02;01;2012;17;0.24;0.24;0.24;0.98;0.98;0.98
214;02;01;2012;18;0.23;0.24;0.24;0.90;0.96;0.98
214;02;01;2012;19;0.23;0.24;0.24;0.90;0.96;0.98
214;02;01;2012;20;0.23;0.24;0.24;0.90;0.96;0.98
214;02;01;2012;21;0.24;0.24;0.24;0.98;0.98;0.98
214;02;01;2012;22;0.24;0.24;0.24;0.98;0.98;0.98
214;02;01;2012;23;0.24;0.24;0.24;0.98;0.98;0.98
214;03;01;2012;00;0.24;0.24;0.24;0.98;0.98;0.98
214;03;01;2012;01;0.24;0.24;0.24;0.98;0.98;0.98
214;03;01;2012;02;0.24;0.24;0.24;0.98;0.98;0.98
214;03;01;2012;03;0.24;0.24;0.24;0.98;0.98;0.98
214;03;01;2012;04;0.24;0.24;0.24;0.98;0.98;0.98
214;03;01;2012;05;0.24;0.24;0.24;0.98;0.98;0.98
214;03;01;2012;06;0.24;0.24;0.24;0.98;0.98;0.98
214;03;01;2012;07;0.23;0.24;0.24;0.90;0.94;0.98
214;03;01;2012;08;0.24;0.24;0.24;0.98;0.98;0.98
214;03;01;2012;09;0.23;0.24;0.24;0.90;0.94;0.98
214;03;01;2012;10;0.23;0.24;0.24;0.90;0.96;0.98
214;03;01;2012;11;0.24;0.24;0.24;0.98;0.98;0.98
214;03;01;2012;12;0.24;0.24;0.24;0.98;0.98;0.98
214;03;01;2012;13;0.24;0.24;0.24;0.98;0.98;0.98
214;03;01;2012;14;0.23;0.24;0.24;0.90;0.94;0.98
214;03;01;2012;15;0.24;0.24;0.24;0.98;0.98;0.98
214;03;01;2012;16;0.23;0.24;0.24;0.90;0.96;0.98
214;03;01;2012;17;0.23;0.24;0.24;0.90;0.96;0.98
214;03;01;2012;18;0.23;0.24;0.24;0.90;0.94;0.98
214;03;01;2012;19;0.23;0.24;0.24;0.90;0.94;0.98
214;03;01;2012;20;0.23;0.24;0.24;0.90;0.96;0.98
214;03;01;2012;21;0.23;0.23;0.24;0.90;0.92;0.98
214;03;01;2012;22;0.23;0.24;0.24;0.90;0.94;0.98
214;03;01;2012;23;0.23;0.23;0.23;0.90;0.90;0.90
214;04;01;2012;00;0.23;0.23;0.24;0.90;0.92;0.98
214;04;01;2012;01;0.24;0.24;0.24;0.98;0.98;0.98
214;04;01;2012;02;0.23;0.24;0.24;0.90;0.96;0.98
214;04;01;2012;03;0.23;0.24;0.24;0.90;0.94;0.98
214;04;01;2012;04;0.23;0.24;0.24;0.90;0.94;0.98
214;04;01;2012;05;0.23;0.24;0.24;0.90;0.94;0.98
214;04;01;2012;06;0.23;0.24;0.24;0.90;0.94;0.98
214;04;01;2012;07;0.23;0.24;0.24;0.90;0.96;0.98
214;04;01;2012;08;0.23;0.24;0.24;0.90;0.96;0.98
214;04;01;2012;09;0.23;0.24;0.24;0.90;0.96;0.98
214;04;01;2012;10;0.23;0.24;0.24;0.90;0.96;0.98
214;04;01;2012;11;0.23;0.24;0.24;0.90;0.94;0.98
214;04;01;2012;12;0.24;0.24;0.24;0.98;0.98;0.98
214;04;01;2012;13;0.23;0.24;0.24;0.90;0.96;0.98
214;04;01;2012;14;0.24;0.24;0.24;0.98;0.98;0.98
214;04;01;2012;15;0.24;0.24;0.24;0.98;0.98;0.98
214;04;01;2012;16;0.23;0.24;0.24;0.90;0.96;0.98
214;04;01;2012;17;0.23;0.23;0.24;0.90;0.92;0.98
214;04;01;2012;18;0.23;0.24;0.24;0.90;0.94;0.98
214;04;01;2012;19;0.23;0.24;0.24;0.90;0.96;0.98
214;04;01;2012;20;0.23;0.24;0.24;0.90;0.96;0.98
214;04;01;2012;21;0.23;0.24;0.24;0.90;0.94;0.98
214;04;01;2012;22;0.23;0.23;0.23;0.90;0.90;0.90
214;04;01;2012;23;0.23;0.23;0.23;0.90;0.90;0.90
214;05;01;2012;00;0.23;0.23;0.23;0.90;0.90;0.90
214;05;01;2012;01;0.23;0.24;0.24;0.90;0.94;0.98
214;05;01;2012;02;0.23;0.23;0.24;0.90;0.92;0.98
214;05;01;2012;03;0.23;0.23;0.24;0.90;0.92;0.98
214;05;01;2012;04;0.23;0.24;0.24;0.90;0.96;0.98
214;05;01;2012;05;0.23;0.23;0.24;0.90;0.92;0.98
214;05;01;2012;06;0.23;0.24;0.24;0.90;0.96;0.98
214;05;01;2012;07;0.24;0.24;0.24;0.98;0.98;0.98
214;05;01;2012;08;0.23;0.24;0.24;0.90;0.96;0.98
214;05;01;2012;09;0.23;0.24;0.24;0.90;0.96;0.98
214;05;01;2012;10;0.24;0.24;0.24;0.98;0.98;0.98
214;05;01;2012;11;0.23;0.24;0.24;0.90;0.96;0.98
214;05;01;2012;12;0.23;0.24;0.24;0.90;0.96;0.98
214;05;01;2012;13;0.24;0.24;0.24;0.98;0.98;0.98
214;05;01;2012;14;0.23;0.24;0.24;0.90;0.96;0.98
214;05;01;2012;15;0.24;0.24;0.24;0.98;0.98;0.98
214;05;01;2012;16;0.24;0.24;0.24;0.98;0.98;0.98
214;05;01;2012;17;0.23;0.24;0.24;0.90;0.96;0.98
214;05;01;2012;18;0.24;0.24;0.24;0.98;0.98;0.98
214;05;01;2012;19;0.24;0.24;0.24;0.98;0.98;0.98
214;05;01;2012;20;0.24;0.24;0.24;0.98;0.98;0.98
214;05;01;2012;21;0.24;0.24;0.24;0.98;0.98;0.98
214;05;01;2012;22;0.24;0.24;0.24;0.98;0.98;0.98
214;05;01;2012;23;0.24;0.24;0.24;0.98;0.98;0.98
214;06;01;2012;00;0.24;0.24;0.24;0.98;0.98;0.98
214;06;01;2012;01;0.24;0.24;0.24;0.98;0.98;0.98
214;06;01;2012;02;0.24;0.24;0.24;0.98;0.98;0.98
214;06;01;2012;03;0.24;0.24;0.24;0.98;0.98;0.98
214;06;01;2012;04;0.24;0.24;0.24;0.98;0.98;0.98
214;06;01;2012;05;0.24;0.24;0.24;0.98;0.98;0.98
214;06;01;2012;06;0.24;0.24;0.24;0.98;0.98;0.98
214;06;01;2012;07;0.23;0.24;0.24;0.90;0.96;0.98
214;06;01;2012;08;0.23;0.24;0.24;0.90;0.96;0.98
214;06;01;2012;09;0.23;0.24;0.24;0.90;0.94;0.98
214;06;01;2012;10;0.23;0.24;0.24;0.90;0.96;0.98
214;06;01;2012;11;0.23;0.24;0.24;0.90;0.96;0.98
214;06;01;2012;12;0.23;0.23;0.24;0.90;0.92;0.98
214;06;01;2012;13;0.23;0.24;0.24;0.90;0.94;0.98
214;06;01;2012;14;0.23;0.24;0.24;0.90;0.96;0.98
214;06;01;2012;15;0.23;0.23;0.24;0.90;0.92;0.98
214;06;01;2012;16;0.23;0.24;0.24;0.90;0.94;0.98
214;06;01;2012;17;0.23;0.24;0.24;0.90;0.96;0.98
214;06;01;2012;18;0.23;0.23;0.23;0.90;0.90;0.90
214;06;01;2012;19;0.23;0.23;0.23;0.90;0.90;0.90
214;06;01;2012;20;0.23;0.23;0.23;0.90;0.90;0.90
214;06;01;2012;21;0.23;0.23;0.23;0.90;0.90;0.90
214;06;01;2012;22;0.23;0.23;0.23;0.90;0.90;0.90
214;06;01;2012;23;0.23;0.23;0.23;0.90;0.90;0.90
214;07;01;2012;00;0.23;0.23;0.23;0.90;0.90;0.90
214;07;01;2012;01;0.23;0.23;0.23;0.90;0.90;0.90
214;07;01;2012;02;0.23;0.23;0.23;0.90;0.90;0.90
214;07;01;2012;03;0.23;0.23;0.23;0.90;0.90;0.90
214;07;01;2012;04;0.23;0.23;0.23;0.90;0.90;0.90
214;07;01;2012;05;0.23;0.23;0.23;0.90;0.90;0.90
214;07;01;2012;06;0.23;0.23;0.23;0.90;0.90;0.90
214;07;01;2012;07;0.23;0.23;0.23;0.90;0.90;0.90
214;07;01;2012;08;0.23;0.23;0.23;0.90;0.90;0.90
214;07;01;2012;09;0.23;0.23;0.23;0.90;0.90;0.90
214;07;01;2012;10;0.23;0.23;0.23;0.90;0.90;0.90
214;07;01;2012;11;0.23;0.23;0.23;0.90;0.90;0.90
214;07;01;2012;12;0.23;0.23;0.23;0.90;0.90;0.90
214;07;01;2012;13;0.23;0.23;0.23;0.90;0.90;0.90
214;07;01;2012;14;0.23;0.23;0.23;0.90;0.90;0.90
214;07;01;2012;15;0.23;0.23;0.24;0.90;0.92;0.98
214;07;01;2012;16;0.23;0.24;0.24;0.90;0.96;0.98
214;07;01;2012;17;0.23;0.24;0.24;0.90;0.96;0.98
214;07;01;2012;18;0.23;0.23;0.23;0.90;0.90;0.90
214;07;01;2012;19;0.23;0.23;0.23;0.90;0.90;0.90
214;07;01;2012;20;0.23;0.23;0.23;0.90;0.90;0.90
214;07;01;2012;21;0.23;0.23;0.23;0.90;0.90;0.90
214;07;01;2012;22;0.23;0.23;0.23;0.90;0.90;0.90
214;07;01;2012;23;0.23;0.23;0.23;0.90;0.90;0.90
214;08;01;2012;00;0.23;0.24;0.24;0.90;0.94;0.98
214;08;01;2012;01;0.23;0.23;0.23;0.90;0.90;0.90
214;08;01;2012;02;0.23;0.23;0.24;0.90;0.92;0.98
214;08;01;2012;03;0.23;0.23;0.24;0.90;0.92;0.98
214;08;01;2012;04;0.23;0.23;0.24;0.90;0.92;0.98
214;08;01;2012;05;0.23;0.23;0.23;0.90;0.90;0.90
214;08;01;2012;06;0.23;0.23;0.23;0.90;0.90;0.90
214;08;01;2012;07;0.23;0.23;0.23;0.90;0.90;0.90
214;08;01;2012;08;0.23;0.23;0.23;0.90;0.90;0.90
214;08;01;2012;09;0.23;0.23;0.23;0.90;0.90;0.90
214;08;01;2012;10;0.23;0.23;0.23;0.90;0.90;0.90
214;08;01;2012;11;0.23;0.23;0.23;0.90;0.90;0.90
214;08;01;2012;12;0.23;0.23;0.23;0.90;0.90;0.90
214;08;01;2012;13;0.23;0.23;0.23;0.90;0.90;0.90
214;08;01;2012;14;0.23;0.23;0.23;0.90;0.90;0.90
214;08;01;2012;15;0.23;0.23;0.23;0.90;0.90;0.90
214;08;01;2012;16;0.23;0.23;0.23;0.90;0.90;0.90
214;08;01;2012;17;0.23;0.23;0.23;0.90;0.90;0.90
214;08;01;2012;18;0.23;0.23;0.23;0.90;0.90;0.90
