IDSTAZIONE;GIORNO;MESE;ANNO;ORA;LIVIDRO_MIN;LIVIDRO_MED;LIVIDRO_MAX;PORT_MIN;PORT_MED;PORT_MAX
406;01;01;2022;01;0.48;0.50;0.50;4.89;5.33;5.47
406;01;01;2022;02;0.49;0.49;0.49;5.18;5.18;5.18
406;01;01;2022;03;0.49;0.49;0.49;5.18;5.18;5.18
406;01;01;2022;04;0.49;0.49;0.50;5.18;5.28;5.47
406;01;01;2022;05;0.50;0.50;0.50;5.47;5.47;5.47
406;01;01;2022;06;0.49;0.49;0.50;5.18;5.28;5.47
406;01;01;2022;07;0.49;0.49;0.49;5.18;5.18;5.18
406;01;01;2022;08;0.49;0.49;0.49;5.18;5.18;5.18
406;01;01;2022;09;0.49;0.50;0.50;5.18;5.37;5.47
406;01;01;2022;10;0.49;0.50;0.50;5.18;5.37;5.47
406;01;01;2022;11;0.49;0.49;0.49;5.18;5.18;5.18
406;01;01;2022;12;0.49;0.49;0.49;5.18;5.18;5.18
406;01;01;2022;13;0.49;0.49;0.49;5.18;5.18;5.18
406;01;01;2022;14;0.49;0.50;0.50;5.18;5.37;5.47
406;01;01;2022;15;0.49;0.49;0.50;5.18;5.28;5.47
406;01;01;2022;16;0.49;0.49;0.49;5.18;5.18;5.18
406;01;01;2022;17;0.49;0.49;0.49;5.18;5.18;5.18
406;01;01;2022;18;0.49;0.50;0.50;5.18;5.32;5.47
406;01;01;2022;19;0.50;0.50;0.50;5.47;5.47;5.47
406;01;01;2022;20;0.49;0.49;0.50;5.18;5.23;5.47
406;01;01;2022;21;0.49;0.49;0.49;5.18;5.18;5.18
406;01;01;2022;22;0.49;0.49;0.50;5.18;5.23;5.47
406;01;01;2022;23;0.50;0.50;0.50;5.47;5.47;5.47
406;02;01;2022;00;0.49;0.50;0.50;5.18;5.37;5.47
406;02;01;2022;01;0.49;0.49;0.49;5.18;5.18;5.18
406;02;01;2022;02;0.49;0.49;0.49;5.18;5.18;5.18
406;02;01;2022;03;0.49;0.50;0.50;5.18;5.37;5.47
406;02;01;2022;04;0.50;0.50;0.50;5.47;5.47;5.47
406;02;01;2022;05;0.49;0.49;0.50;5.18;5.23;5.47
406;02;01;2022;06;0.49;0.49;0.49;5.18;5.18;5.18
406;02;01;2022;07;0.49;0.49;0.50;5.18;5.23;5.47
