IDSTAZIONE;GIORNO;MESE;ANNO;ORA;LIVIDRO_MIN;LIVIDRO_MED;LIVIDRO_MAX;PORT_MIN;PORT_MED;PORT_MAX
406;01;01;2017;01;0.38;0.38;0.38;4.93;4.93;4.93
406;01;01;2017;02;0.37;0.37;0.37;4.69;4.69;4.69
406;01;01;2017;03;0.37;0.38;0.38;4.69;4.81;4.93
406;01;01;2017;04;0.37;0.38;0.38;4.69;4.81;4.93
406;01;01;2017;05;0.37;0.37;0.37;4.69;4.69;4.69
406;01;01;2017;06;0.36;0.37;0.38;4.47;4.70;4.93
406;01;01;2017;07;0.35;0.36;0.36;4.25;4.36;4.47
406;01;01;2017;08;0.37;0.37;0.37;4.69;4.69;4.69
406;01;01;2017;09;0.37;0.37;0.37;4.69;4.69;4.69
406;01;01;2017;10;0.36;0.37;0.37;4.47;4.58;4.69
406;01;01;2017;11;0.35;0.36;0.37;4.25;4.47;4.69
406;01;01;2017;12;0.38;0.38;0.38;4.93;4.93;4.93
406;01;01;2017;13;0.37;0.38;0.38;4.69;4.81;4.93
406;01;01;2017;14;0.36;0.37;0.37;4.47;4.58;4.69
406;01;01;2017;15;0.38;0.38;0.38;4.93;4.93;4.93
406;01;01;2017;16;0.37;0.38;0.39;4.69;4.93;5.16
406;01;01;2017;17;0.37;0.38;0.38;4.69;4.81;4.93
406;01;01;2017;18;0.39;0.39;0.39;5.16;5.16;5.16
406;01;01;2017;19;0.37;0.38;0.38;4.69;4.81;4.93
406;01;01;2017;20;0.37;0.38;0.38;4.69;4.81;4.93
406;01;01;2017;21;0.37;0.37;0.37;4.69;4.69;4.69
406;01;01;2017;22;0.37;0.38;0.39;4.69;4.93;5.16
406;01;01;2017;23;0.37;0.38;0.38;4.69;4.81;4.93
406;02;01;2017;00;0.36;0.36;0.36;4.47;4.47;4.47
406;02;01;2017;01;0.37;0.38;0.38;4.69;4.81;4.93
406;02;01;2017;02;0.37;0.37;0.37;4.69;4.69;4.69
406;02;01;2017;03;0.36;0.37;0.37;4.47;4.58;4.69
406;02;01;2017;04;0.35;0.36;0.37;4.25;4.47;4.69
406;02;01;2017;05;0.36;0.37;0.38;4.47;4.70;4.93
406;02;01;2017;06;0.36;0.36;0.36;4.47;4.47;4.47
406;02;01;2017;07;0.35;0.36;0.36;4.25;4.36;4.47
406;02;01;2017;08;0.34;0.35;0.35;4.04;4.14;4.25
406;02;01;2017;09;0.36;0.36;0.36;4.47;4.47;4.47
406;02;01;2017;10;0.36;0.37;0.37;4.47;4.58;4.69
406;02;01;2017;11;0.35;0.35;0.35;4.25;4.25;4.25
406;02;01;2017;12;0.34;0.35;0.36;4.04;4.25;4.47
406;02;01;2017;13;0.35;0.36;0.36;4.25;4.36;4.47
406;02;01;2017;14;0.37;0.38;0.38;4.69;4.81;4.93
406;02;01;2017;15;0.38;0.38;0.38;4.93;4.93;4.93
406;02;01;2017;16;0.36;0.37;0.38;4.47;4.70;4.93
406;02;01;2017;17;0.38;0.38;0.38;4.93;4.93;4.93
406;02;01;2017;18;0.38;0.38;0.38;4.93;4.93;4.93
406;02;01;2017;19;0.38;0.39;0.39;4.93;5.04;5.16
406;02;01;2017;20;0.38;0.39;0.39;4.93;5.04;5.16
406;02;01;2017;21;0.37;0.38;0.38;4.69;4.81;4.93
406;02;01;2017;22;0.37;0.38;0.39;4.69;4.93;5.16
406;02;01;2017;23;0.39;0.39;0.39;5.16;5.16;5.16
406;03;01;2017;00;0.38;0.38;0.38;4.93;4.93;4.93
406;03;01;2017;01;0.37;0.38;0.39;4.69;4.93;5.16
