IDSTAZIONE;GIORNO;MESE;ANNO;ORA;LIVIDRO_MIN;LIVIDRO_MED;LIVIDRO_MAX;PORT_MIN;PORT_MED;PORT_MAX
406;01;01;2012;01;0.07;0.07;0.07;4.72;4.72;4.72
406;01;01;2012;02;0.07;0.08;0.08;4.72;4.85;4.98
406;01;01;2012;03;0.08;0.08;0.08;4.98;4.98;4.98
406;01;01;2012;04;0.07;0.08;0.08;4.72;4.85;4.98
406;01;01;2012;05;0.07;0.08;0.09;4.72;4.98;5.24
406;01;01;2012;06;0.06;0.07;0.07;4.47;4.60;4.72
406;01;01;2012;07;0.07;0.08;0.08;4.72;4.85;4.98
406;01;01;2012;08;0.07;0.08;0.08;4.72;4.85;4.98
406;01;01;2012;09;0.07;0.08;0.08;4.72;4.85;4.98
406;01;01;2012;10;0.07;0.07;0.07;4.72;4.72;4.72
406;01;01;2012;11;0.08;0.09;0.09;4.98;5.11;5.24
406;01;01;2012;12;0.09;0.09;0.09;5.24;5.24;5.24
406;01;01;2012;13;0.09;0.09;0.09;5.24;5.24;5.24
406;01;01;2012;14;0.09;0.09;0.09;5.24;5.24;5.24
406;01;01;2012;15;0.08;0.08;0.08;4.98;4.98;4.98
406;01;01;2012;16;0.09;0.09;0.09;5.24;5.24;5.24
406;01;01;2012;17;0.09;0.09;0.09;5.24;5.24;5.24
406;01;01;2012;18;0.09;0.09;0.09;5.24;5.24;5.24
406;01;01;2012;19;0.09;0.09;0.09;5.24;5.24;5.24
406;01;01;2012;20;0.08;0.08;0.08;4.98;4.98;4.98
406;01;01;2012;21;0.09;0.09;0.09;5.24;5.24;5.24
406;01;01;2012;22;0.09;0.09;0.09;5.24;5.24;5.24
406;01;01;2012;23;0.09;0.09;0.09;5.24;5.24;5.24
406;02;01;2012;00;0.08;0.09;0.09;4.98;5.11;5.24
406;02;01;2012;01;0.08;0.08;0.08;4.98;4.98;4.98
406;02;01;2012;02;0.09;0.09;0.09;5.24;5.24;5.24
406;02;01;2012;03;0.09;0.09;0.09;5.24;5.24;5.24
406;02;01;2012;04;0.09;0.09;0.09;5.24;5.24;5.24
406;02;01;2012;05;0.08;0.08;0.08;4.98;4.98;4.98
406;02;01;2012;06;0.07;0.08;0.08;4.72;4.85;4.98
406;02;01;2012;07;0.08;0.09;0.09;4.98;5.11;5.24
406;02;01;2012;08;0.08;0.08;0.08;4.98;4.98;4.98
406;02;01;2012;09;0.08;0.08;0.08;4.98;4.98;4.98
406;02;01;2012;10;0.08;0.08;0.08;4.98;4.98;4.98
406;02;01;2012;11;0.09;0.09;0.09;5.24;5.24;5.24
406;02;01;2012;12;0.09;0.09;0.09;5.24;5.24;5.24
406;02;01;2012;13;0.09;0.09;0.09;5.24;5.24;5.24
406;02;01;2012;14;0.08;0.08;0.08;4.98;4.98;4.98
406;02;01;2012;15;0.08;0.09;0.09;4.98;5.11;5.24
406;02;01;2012;16;0.09;0.09;0.09;5.24;5.24;5.24
406;02;01;2012;17;0.09;0.09;0.09;5.24;5.24;5.24
406;02;01;2012;18;0.09;0.09;0.09;5.24;5.24;5.24
406;02;01;2012;19;0.08;0.08;0.08;4.98;4.98;4.98
406;02;01;2012;20;0.08;0.09;0.09;4.98;5.11;5.24
406;02;01;2012;21;0.09;0.09;0.09;5.24;5.24;5.24
406;02;01;2012;22;0.09;0.09;0.09;5.24;5.24;5.24
406;02;01;2012;23;0.08;0.09;0.09;4.98;5.11;5.24
406;03;01;2012;00;0.09;0.10;0.10;5.24;5.37;5.50
406;03;01;2012;01;0.10;0.11;0.11;5.50;5.64;5.78
406;03;01;2012;02;0.11;0.11;0.11;5.78;5.78;5.78
406;03;01;2012;03;0.11;0.11;0.11;5.78;5.78;5.78
406;03;01;2012;04;0.10;0.10;0.10;5.50;5.50;5.50
406;03;01;2012;05;0.09;0.10;0.10;5.24;5.37;5.50
406;03;01;2012;06;0.10;0.10;0.10;5.50;5.50;5.50
406;03;01;2012;07;0.10;0.10;0.10;5.50;5.50;5.50
406;03;01;2012;08;0.09;0.10;0.10;5.24;5.37;5.50
406;03;01;2012;09;0.09;0.09;0.09;5.24;5.24;5.24
406;03;01;2012;10;0.09;0.10;0.10;5.24;5.37;5.50
406;03;01;2012;11;0.09;0.09;0.09;5.24;5.24;5.24
406;03;01;2012;12;0.09;0.10;0.10;5.24;5.37;5.50
406;03;01;2012;13;0.09;0.09;0.09;5.24;5.24;5.24
406;03;01;2012;14;0.08;0.08;0.08;4.98;4.98;4.98
406;03;01;2012;15;0.09;0.09;0.09;5.24;5.24;5.24
406;03;01;2012;16;0.09;0.09;0.09;5.24;5.24;5.24
406;03;01;2012;17;0.09;0.10;0.10;5.24;5.37;5.50
406;03;01;2012;18;0.08;0.09;0.09;4.98;5.11;5.24
406;03;01;2012;19;0.08;0.09;0.09;4.98;5.11;5.24
406;03;01;2012;20;0.09;0.09;0.09;5.24;5.24;5.24
406;03;01;2012;21;0.09;0.09;0.09;5.24;5.24;5.24
406;03;01;2012;22;0.09;0.09;0.09;5.24;5.24;5.24
406;03;01;2012;23;0.08;0.08;0.08;4.98;4.98;4.98
406;04;01;2012;00;0.08;0.09;0.09;4.98;5.11;5.24
406;04;01;2012;01;0.09;0.09;0.09;5.24;5.24;5.24
406;04;01;2012;02;0.09;0.09;0.09;5.24;5.24;5.24
406;04;01;2012;03;0.08;0.09;0.09;4.98;5.11;5.24
406;04;01;2012;04;0.08;0.09;0.09;4.98;5.11;5.24
406;04;01;2012;05;0.09;0.09;0.09;5.24;5.24;5.24
406;04;01;2012;06;0.08;0.09;0.09;4.98;5.11;5.24
406;04;01;2012;07;0.08;0.08;0.08;4.98;4.98;4.98
406;04;01;2012;08;0.07;0.08;0.08;4.72;4.85;4.98
406;04;01;2012;09;0.08;0.09;0.09;4.98;5.11;5.24
406;04;01;2012;10;0.09;0.09;0.09;5.24;5.24;5.24
406;04;01;2012;11;0.09;0.09;0.09;5.24;5.24;5.24
406;04;01;2012;12;0.09;0.09;0.09;5.24;5.24;5.24
406;04;01;2012;13;0.08;0.08;0.08;4.98;4.98;4.98
406;04;01;2012;14;0.09;0.09;0.09;5.24;5.24;5.24
406;04;01;2012;15;0.09;0.09;0.09;5.24;5.24;5.24
406;04;01;2012;16;0.09;0.09;0.09;5.24;5.24;5.24
406;04;01;2012;17;0.08;0.08;0.08;4.98;4.98;4.98
406;04;01;2012;18;0.08;0.09;0.09;4.98;5.11;5.24
406;04;01;2012;19;0.09;0.09;0.09;5.24;5.24;5.24
406;04;01;2012;20;0.09;0.09;0.09;5.24;5.24;5.24
406;04;01;2012;21;0.08;0.09;0.09;4.98;5.11;5.24
406;04;01;2012;22;0.08;0.08;0.08;4.98;4.98;4.98
406;04;01;2012;23;0.08;0.09;0.09;4.98;5.11;5.24
406;05;01;2012;00;0.08;0.08;0.08;4.98;4.98;4.98
406;05;01;2012;01;0.08;0.08;0.08;4.98;4.98;4.98
406;05;01;2012;02;0.07;0.07;0.07;4.72;4.72;4.72
406;05;01;2012;03;0.08;0.08;0.08;4.98;4.98;4.98
406;05;01;2012;04;0.08;0.08;0.08;4.98;4.98;4.98
406;05;01;2012;05;0.07;0.08;0.08;4.72;4.85;4.98
406;05;01;2012;06;0.07;0.07;0.07;4.72;4.72;4.72
406;05;01;2012;07;0.06;0.07;0.08;4.47;4.72;4.98
406;05;01;2012;08;0.07;0.07;0.07;4.72;4.72;4.72
406;05;01;2012;09;0.07;0.07;0.07;4.72;4.72;4.72
406;05;01;2012;10;0.07;0.08;0.08;4.72;4.85;4.98
406;05;01;2012;11;0.07;0.08;0.08;4.72;4.85;4.98
406;05;01;2012;12;0.09;0.09;0.09;5.24;5.24;5.24
406;05;01;2012;13;0.08;0.08;0.08;4.98;4.98;4.98
406;05;01;2012;14;0.08;0.09;0.09;4.98;5.11;5.24
406;05;01;2012;15;0.08;0.08;0.08;4.98;4.98;4.98
406;05;01;2012;16;0.09;0.09;0.09;5.24;5.24;5.24
406;05;01;2012;17;0.09;0.09;0.09;5.24;5.24;5.24
406;05;01;2012;18;0.09;0.09;0.09;5.24;5.24;5.24
406;05;01;2012;19;0.08;0.08;0.08;4.98;4.98;4.98
406;05;01;2012;20;0.09;0.10;0.10;5.24;5.37;5.50
406;05;01;2012;21;0.09;0.09;0.09;5.24;5.24;5.24
406;05;01;2012;22;0.09;0.10;0.10;5.24;5.37;5.50
406;05;01;2012;23;0.08;0.09;0.09;4.98;5.11;5.24
406;06;01;2012;00;0.08;0.09;0.09;4.98;5.11;5.24
406;06;01;2012;01;0.09;0.09;0.09;5.24;5.24;5.24
406;06;01;2012;02;0.09;0.09;0.09;5.24;5.24;5.24
406;06;01;2012;03;0.09;0.09;0.09;5.24;5.24;5.24
406;06;01;2012;04;0.08;0.08;0.08;4.98;4.98;4.98
406;06;01;2012;05;0.08;0.10;0.11;4.98;5.38;5.78
406;06;01;2012;06;0.08;0.09;0.09;4.98;5.11;5.24
406;06;01;2012;07;0.09;0.09;0.09;5.24;5.24;5.24
406;06;01;2012;08;0.08;0.09;0.09;4.98;5.11;5.24
406;06;01;2012;09;0.07;0.08;0.08;4.72;4.85;4.98
406;06;01;2012;10;0.08;0.09;0.10;4.98;5.24;5.50
406;06;01;2012;11;0.08;0.09;0.10;4.98;5.24;5.50
406;06;01;2012;12;0.08;0.09;0.09;4.98;5.11;5.24
406;06;01;2012;13;0.08;0.08;0.08;4.98;4.98;4.98
406;06;01;2012;14;0.09;0.09;0.09;5.24;5.24;5.24
406;06;01;2012;15;0.08;0.08;0.08;4.98;4.98;4.98
406;06;01;2012;16;0.09;0.09;0.09;5.24;5.24;5.24
406;06;01;2012;17;0.08;0.08;0.08;4.98;4.98;4.98
406;06;01;2012;18;0.07;0.08;0.08;4.72;4.85;4.98
406;06;01;2012;19;0.08;0.09;0.09;4.98;5.11;5.24
406;06;01;2012;20;0.08;0.09;0.09;4.98;5.11;5.24
406;06;01;2012;21;0.08;0.09;0.09;4.98;5.11;5.24
406;06;01;2012;22;0.09;0.09;0.09;5.24;5.24;5.24
406;06;01;2012;23;0.07;0.08;0.08;4.72;4.85;4.98
406;07;01;2012;00;0.07;0.10;0.12;4.72;5.39;6.06
406;07;01;2012;01;0.08;0.08;0.08;4.98;4.98;4.98
406;07;01;2012;02;0.07;0.08;0.08;4.72;4.85;4.98
406;07;01;2012;03;0.08;0.08;0.08;4.98;4.98;4.98
406;07;01;2012;04;0.08;0.08;0.08;4.98;4.98;4.98
406;07;01;2012;05;0.07;0.07;0.07;4.72;4.72;4.72
406;07;01;2012;06;0.04;0.05;0.05;3.99;4.11;4.23
406;07;01;2012;07;0.06;0.07;0.07;4.47;4.60;4.72
406;07;01;2012;08;0.07;0.08;0.08;4.72;4.85;4.98
406;07;01;2012;09;0.07;0.07;0.07;4.72;4.72;4.72
406;07;01;2012;10;0.06;0.07;0.07;4.47;4.60;4.72
406;07;01;2012;11;0.07;0.07;0.07;4.72;4.72;4.72
406;07;01;2012;12;0.08;0.08;0.08;4.98;4.98;4.98
406;07;01;2012;13;0.08;0.08;0.08;4.98;4.98;4.98
