IDSTAZIONE;GIORNO;MESE;ANNO;ORA;LIVIDRO_MIN;LIVIDRO_MED;LIVIDRO_MAX;PORT_MIN;PORT_MED;PORT_MAX
406;01;01;2016;01;0.35;0.35;0.35;4.25;4.25;4.25
406;01;01;2016;02;0.36;0.37;0.38;4.47;4.70;4.93
406;01;01;2016;03;0.37;0.37;0.37;4.69;4.69;4.69
406;01;01;2016;04;0.36;0.37;0.37;4.47;4.58;4.69
406;01;01;2016;05;0.35;0.37;0.38;4.25;4.59;4.93
406;01;01;2016;06;0.37;0.37;0.37;4.69;4.69;4.69
406;01;01;2016;07;0.35;0.36;0.36;4.25;4.36;4.47
406;01;01;2016;08;0.35;0.35;0.35;4.25;4.25;4.25
406;01;01;2016;09;0.34;0.35;0.36;4.04;4.25;4.47
406;01;01;2016;10;0.35;0.37;0.38;4.25;4.59;4.93
406;01;01;2016;11;0.36;0.37;0.37;4.47;4.58;4.69
406;01;01;2016;12;0.34;0.36;0.37;4.04;4.37;4.69
406;01;01;2016;13;0.37;0.37;0.37;4.69;4.69;4.69
406;01;01;2016;14;0.37;0.37;0.37;4.69;4.69;4.69
406;01;01;2016;15;0.36;0.38;0.39;4.47;4.82;5.16
406;01;01;2016;16;0.37;0.37;0.37;4.69;4.69;4.69
406;01;01;2016;17;0.37;0.37;0.37;4.69;4.69;4.69
406;01;01;2016;18;0.38;0.39;0.40;4.93;5.17;5.41
406;01;01;2016;19;0.36;0.37;0.37;4.47;4.58;4.69
406;01;01;2016;20;0.36;0.37;0.37;4.47;4.58;4.69
406;01;01;2016;21;0.35;0.35;0.35;4.25;4.25;4.25
406;01;01;2016;22;0.36;0.37;0.37;4.47;4.58;4.69
406;01;01;2016;23;0.35;0.37;0.38;4.25;4.59;4.93
406;02;01;2016;00;0.36;0.37;0.37;4.47;4.58;4.69
406;02;01;2016;01;0.35;0.36;0.36;4.25;4.36;4.47
406;02;01;2016;02;0.35;0.36;0.36;4.25;4.36;4.47
406;02;01;2016;03;0.35;0.35;0.35;4.25;4.25;4.25
406;02;01;2016;04;0.35;0.36;0.36;4.25;4.36;4.47
406;02;01;2016;05;0.34;0.35;0.36;4.04;4.25;4.47
406;02;01;2016;06;0.35;0.36;0.36;4.25;4.36;4.47
406;02;01;2016;07;0.35;0.35;0.35;4.25;4.25;4.25
406;02;01;2016;08;0.32;0.33;0.33;3.63;3.73;3.83
406;02;01;2016;09;0.33;0.33;0.33;3.83;3.83;3.83
406;02;01;2016;10;0.36;0.37;0.37;4.47;4.58;4.69
406;02;01;2016;11;0.38;0.38;0.38;4.93;4.93;4.93
406;02;01;2016;12;0.36;0.37;0.37;4.47;4.58;4.69
406;02;01;2016;13;0.35;0.35;0.35;4.25;4.25;4.25
406;02;01;2016;14;0.36;0.36;0.36;4.47;4.47;4.47
406;02;01;2016;15;0.37;0.37;0.37;4.69;4.69;4.69
406;02;01;2016;16;0.36;0.37;0.38;4.47;4.70;4.93
406;02;01;2016;17;0.36;0.37;0.37;4.47;4.58;4.69
406;02;01;2016;18;0.34;0.35;0.36;4.04;4.25;4.47
406;02;01;2016;19;0.36;0.37;0.37;4.47;4.58;4.69
406;02;01;2016;20;0.36;0.36;0.36;4.47;4.47;4.47
406;02;01;2016;21;0.36;0.36;0.36;4.47;4.47;4.47
406;02;01;2016;22;0.36;0.37;0.37;4.47;4.58;4.69
406;02;01;2016;23;0.36;0.37;0.38;4.47;4.70;4.93
406;03;01;2016;00;0.37;0.37;0.37;4.69;4.69;4.69
406;03;01;2016;01;0.34;0.35;0.35;4.04;4.14;4.25
406;03;01;2016;02;0.34;0.35;0.35;4.04;4.14;4.25
406;03;01;2016;03;0.34;0.35;0.35;4.04;4.14;4.25
406;03;01;2016;04;0.34;0.35;0.36;4.04;4.25;4.47
406;03;01;2016;05;0.33;0.34;0.35;3.83;4.04;4.25
406;03;01;2016;06;0.33;0.34;0.34;3.83;3.93;4.04
406;03;01;2016;07;0.33;0.34;0.35;3.83;4.04;4.25
406;03;01;2016;08;0.34;0.34;0.34;4.04;4.04;4.04
406;03;01;2016;09;0.34;0.35;0.35;4.04;4.14;4.25
406;03;01;2016;10;0.33;0.34;0.34;3.83;3.93;4.04
406;03;01;2016;11;0.33;0.34;0.34;3.83;3.93;4.04
406;03;01;2016;12;0.34;0.35;0.35;4.04;4.14;4.25
406;03;01;2016;13;0.34;0.34;0.34;4.04;4.04;4.04
406;03;01;2016;14;0.34;0.35;0.35;4.04;4.14;4.25
406;03;01;2016;15;0.34;0.34;0.34;4.04;4.04;4.04
406;03;01;2016;16;0.34;0.35;0.35;4.04;4.14;4.25
406;03;01;2016;17;0.35;0.35;0.35;4.25;4.25;4.25
406;03;01;2016;18;0.35;0.35;0.35;4.25;4.25;4.25
406;03;01;2016;19;0.34;0.34;0.34;4.04;4.04;4.04
406;03;01;2016;20;0.34;0.35;0.35;4.04;4.14;4.25
406;03;01;2016;21;0.35;0.36;0.36;4.25;4.36;4.47
406;03;01;2016;22;0.34;0.36;0.38;4.04;4.48;4.93
406;03;01;2016;23;0.34;0.35;0.36;4.04;4.25;4.47
406;04;01;2016;00;0.34;0.35;0.35;4.04;4.14;4.25
406;04;01;2016;01;0.35;0.35;0.35;4.25;4.25;4.25
406;04;01;2016;02;0.36;0.36;0.36;4.47;4.47;4.47
406;04;01;2016;03;0.34;0.35;0.35;4.04;4.14;4.25
406;04;01;2016;04;0.33;0.34;0.35;3.83;4.04;4.25
406;04;01;2016;05;0.34;0.34;0.34;4.04;4.04;4.04
406;04;01;2016;06;0.34;0.34;0.34;4.04;4.04;4.04
406;04;01;2016;07;0.34;0.34;0.34;4.04;4.04;4.04
406;04;01;2016;08;0.34;0.34;0.34;4.04;4.04;4.04
406;04;01;2016;09;0.33;0.34;0.34;3.83;3.93;4.04
406;04;01;2016;10;0.35;0.35;0.35;4.25;4.25;4.25
406;04;01;2016;11;0.34;0.34;0.34;4.04;4.04;4.04
406;04;01;2016;12;0.33;0.33;0.33;3.83;3.83;3.83
406;04;01;2016;13;0.34;0.35;0.35;4.04;4.14;4.25
406;04;01;2016;14;0.34;0.35;0.35;4.04;4.14;4.25
406;04;01;2016;15;0.35;0.35;0.35;4.25;4.25;4.25
406;04;01;2016;16;0.33;0.34;0.34;3.83;3.93;4.04
406;04;01;2016;17;0.33;0.34;0.34;3.83;3.93;4.04
406;04;01;2016;18;0.34;0.34;0.34;4.04;4.04;4.04
406;04;01;2016;19;0.34;0.35;0.35;4.04;4.14;4.25
406;04;01;2016;20;0.34;0.35;0.35;4.04;4.14;4.25
406;04;01;2016;21;0.33;0.33;0.33;3.83;3.83;3.83
406;04;01;2016;22;0.33;0.34;0.35;3.83;4.04;4.25
406;04;01;2016;23;0.33;0.33;0.33;3.83;3.83;3.83
406;05;01;2016;00;0.33;0.34;0.34;3.83;3.93;4.04
406;05;01;2016;01;0.33;0.33;0.33;3.83;3.83;3.83
406;05;01;2016;02;0.33;0.33;0.33;3.83;3.83;3.83
406;05;01;2016;03;0.33;0.34;0.34;3.83;3.93;4.04
406;05;01;2016;04;0.34;0.34;0.34;4.04;4.04;4.04
406;05;01;2016;05;0.33;0.33;0.33;3.83;3.83;3.83
406;05;01;2016;06;0.32;0.33;0.33;3.63;3.73;3.83
406;05;01;2016;07;0.32;0.33;0.33;3.63;3.73;3.83
406;05;01;2016;08;0.33;0.33;0.33;3.83;3.83;3.83
406;05;01;2016;09;0.35;0.35;0.35;4.25;4.25;4.25
406;05;01;2016;10;0.33;0.34;0.34;3.83;3.93;4.04
406;05;01;2016;11;0.34;0.34;0.34;4.04;4.04;4.04
406;05;01;2016;12;0.34;0.34;0.34;4.04;4.04;4.04
406;05;01;2016;13;0.34;0.35;0.35;4.04;4.14;4.25
406;05;01;2016;14;0.35;0.35;0.35;4.25;4.25;4.25
406;05;01;2016;15;0.33;0.34;0.35;3.83;4.04;4.25
406;05;01;2016;16;0.33;0.34;0.35;3.83;4.04;4.25
406;05;01;2016;17;0.35;0.35;0.35;4.25;4.25;4.25
406;05;01;2016;18;0.36;0.36;0.36;4.47;4.47;4.47
406;05;01;2016;19;0.34;0.35;0.35;4.04;4.14;4.25
406;05;01;2016;20;0.34;0.35;0.35;4.04;4.14;4.25
406;05;01;2016;21;0.33;0.34;0.35;3.83;4.04;4.25
406;05;01;2016;22;0.34;0.35;0.35;4.04;4.14;4.25
406;05;01;2016;23;0.34;0.35;0.35;4.04;4.14;4.25
406;06;01;2016;00;0.34;0.34;0.34;4.04;4.04;4.04
406;06;01;2016;01;0.33;0.33;0.33;3.83;3.83;3.83
406;06;01;2016;02;0.32;0.33;0.33;3.63;3.73;3.83
406;06;01;2016;03;0.33;0.34;0.34;3.83;3.93;4.04
406;06;01;2016;04;0.34;0.34;0.34;4.04;4.04;4.04
406;06;01;2016;05;0.33;0.33;0.33;3.83;3.83;3.83
406;06;01;2016;06;0.33;0.33;0.33;3.83;3.83;3.83
406;06;01;2016;07;0.33;0.34;0.34;3.83;3.93;4.04
406;06;01;2016;08;0.32;0.33;0.34;3.63;3.83;4.04
406;06;01;2016;09;0.34;0.35;0.36;4.04;4.25;4.47
406;06;01;2016;10;0.35;0.35;0.35;4.25;4.25;4.25
406;06;01;2016;11;0.34;0.35;0.35;4.04;4.14;4.25
406;06;01;2016;12;0.35;0.36;0.36;4.25;4.36;4.47
406;06;01;2016;13;0.33;0.34;0.34;3.83;3.93;4.04
406;06;01;2016;14;0.35;0.36;0.36;4.25;4.36;4.47
406;06;01;2016;15;0.36;0.36;0.36;4.47;4.47;4.47
406;06;01;2016;16;0.33;0.34;0.34;3.83;3.93;4.04
406;06;01;2016;17;0.34;0.35;0.36;4.04;4.25;4.47
406;06;01;2016;18;0.35;0.36;0.36;4.25;4.36;4.47
406;06;01;2016;19;0.34;0.36;0.37;4.04;4.37;4.69
406;06;01;2016;20;0.34;0.35;0.35;4.04;4.14;4.25
406;06;01;2016;21;0.34;0.35;0.36;4.04;4.25;4.47
406;06;01;2016;22;0.35;0.36;0.36;4.25;4.36;4.47
406;06;01;2016;23;0.34;0.35;0.36;4.04;4.25;4.47
406;07;01;2016;00;0.33;0.34;0.34;3.83;3.93;4.04
406;07;01;2016;01;0.32;0.34;0.35;3.63;3.94;4.25
406;07;01;2016;02;0.33;0.33;0.33;3.83;3.83;3.83
406;07;01;2016;03;0.33;0.34;0.35;3.83;4.04;4.25
406;07;01;2016;04;0.32;0.33;0.33;3.63;3.73;3.83
406;07;01;2016;05;0.32;0.32;0.32;3.63;3.63;3.63
406;07;01;2016;06;0.31;0.33;0.34;3.43;3.74;4.04
406;07;01;2016;07;0.31;0.32;0.32;3.43;3.53;3.63
406;07;01;2016;08;0.32;0.32;0.32;3.63;3.63;3.63
406;07;01;2016;09;0.32;0.33;0.33;3.63;3.73;3.83
